Date,Open,High,Low,Close,Adj Close,Volume
2002-03-21,2.250000,2.250000,2.250000,2.250000,0.821300,0
2002-03-22,2.229167,2.229167,2.160833,2.179167,0.795444,44247600
2002-03-25,2.170833,2.187500,2.166667,2.179167,0.795444,7429200
2002-03-26,2.179167,2.237500,2.179167,2.236667,0.816433,4604400
2002-03-27,2.245833,2.312500,2.233333,2.270833,0.828904,13928400
2002-03-28,2.250000,2.283333,2.229167,2.282500,0.833163,6098400
2002-04-01,2.283333,2.290000,2.229167,2.270833,0.828904,2727600
2002-04-02,2.270833,2.290833,2.250000,2.250000,0.821300,4144800
2002-04-03,2.250000,2.254167,2.171667,2.216667,0.809132,8430000
2002-04-04,2.208333,2.266667,2.208333,2.266667,0.827383,2284800
2002-04-05,2.258333,2.329167,2.254167,2.309167,0.842897,5533200
2002-04-08,2.266667,2.304167,2.265000,2.300000,0.839551,4418400
2002-04-09,2.333333,2.333333,2.300000,2.325000,0.848676,2905200
2002-04-10,2.325000,2.360000,2.308333,2.359167,0.861148,3027600
2002-04-11,2.366667,2.366667,2.333333,2.352500,0.858714,5821200
2002-04-12,2.333333,2.366667,2.320833,2.358333,0.860844,5308800
2002-04-15,2.366667,2.370833,2.333333,2.341667,0.854760,2198400
2002-04-16,2.333333,2.375000,2.333333,2.371667,0.865710,3998400
2002-04-17,2.371667,2.371667,2.358333,2.360833,0.861756,3704400
2002-04-18,2.366667,2.366667,2.306667,2.320833,0.847156,3751200
2002-04-19,2.329167,2.329167,2.291667,2.300000,0.839551,3531600
2002-04-22,2.312500,2.370833,2.300000,2.358333,0.860844,8922000
2002-04-23,2.358333,2.358333,2.341667,2.346667,0.856585,12386400
2002-04-24,2.341667,2.364167,2.333333,2.333333,0.851718,6998400
2002-04-25,2.325000,2.325000,2.266667,2.279167,0.831946,3238800
2002-04-26,2.278333,2.278333,2.254167,2.270833,0.828904,7994400
2002-04-29,2.258333,2.283333,2.258333,2.270833,0.828904,3802800
2002-04-30,2.266667,2.282500,2.258333,2.274167,0.830121,4616400
2002-05-01,2.266667,2.312500,2.262500,2.312500,0.844114,5505600
2002-05-02,2.312500,2.312500,2.250000,2.250000,0.821300,7122000
2002-05-03,2.250000,2.275000,2.250000,2.250000,0.821300,5690400
2002-05-06,2.250000,2.308333,2.250000,2.291667,0.836509,4885200
2002-05-07,2.300000,2.300000,2.260833,2.264167,0.826471,10905600
2002-05-08,2.270833,2.308333,2.270833,2.300000,0.839551,3747600
2002-05-09,2.308333,2.323333,2.279167,2.279167,0.831946,2978400
2002-05-10,2.283333,2.304167,2.275000,2.304167,0.841071,6310800
2002-05-13,2.300000,2.316667,2.293333,2.316667,0.845634,844800
2002-05-14,2.301667,2.341667,2.291667,2.320833,0.847156,3202800
2002-05-15,2.300000,2.324167,2.288333,2.316667,0.845634,2846400
2002-05-16,2.316667,2.325000,2.293333,2.305000,0.841376,2947200
2002-05-17,2.308333,2.308333,2.291667,2.295833,0.838030,3913200
2002-05-20,2.283333,2.304167,2.266667,2.300833,0.839855,2151600
2002-05-21,2.308333,2.345833,2.304167,2.342500,0.855064,5212800
2002-05-22,2.342500,2.344167,2.333333,2.341667,0.854760,5890800
2002-05-23,2.332500,2.359167,2.325000,2.359167,0.861148,3151200
2002-05-24,2.359167,2.359167,2.341667,2.354167,0.859323,726000
2002-05-28,2.359167,2.395833,2.359167,2.395833,0.874532,4741200
2002-05-29,2.391667,2.533333,2.391667,2.499167,0.912251,12590400
